text,sentiment,cleaned_text
".@wesley83 I have a 3G iPhone. After 3 hrs tweeting at #RISE_Austin, it was dead!  I need to upgrade. Plugin stations at #SXSW.",1,3g iphone 3 hr tweet rise_austin dead need upgrade plugin station sxsw
"@jessedee Know about @fludapp ? Awesome iPad/iPhone app that you'll likely appreciate for its design. Also, they're giving free Ts at #SXSW",3,know awesome ipad/iphone app 'll likely appreciate design also 're give free t sxsw
@swonderlin Can not wait for #iPad 2 also. They should sale them down at #SXSW.,3,wait ipad 2 also sale sxsw
@sxsw I hope this year's festival isn't as crashy as this year's iPhone app. #sxsw,1,hope year 's festival n't crashy year 's iphone app sxsw
"@sxtxstate great stuff on Fri #SXSW: Marissa Mayer (Google), Tim O'Reilly (tech books/conferences) &amp; Matt Mullenweg (Wordpress)",3,great stuff fri sxsw marissa mayer google tim o'reilly tech books/conferences amp matt mullenweg wordpress
@teachntech00 New iPad Apps For #SpeechTherapy And Communication Are Showcased At The #SXSW Conference http://ht.ly/49n4M #iear #edchat #asd,5,new ipad apps speechtherapy communication showcased sxsw conference iear edchat asd
"#SXSW is just starting, #CTIA is around the corner and #googleio is only a hop skip and a jump from there, good time to be an #android fan",3,sxsw start ctia around corner googleio hop skip jump good time android fan
Beautifully smart and simple idea RT @madebymany @thenextweb wrote about our #hollergram iPad app for #sxsw! http://bit.ly/ieaVOB,3,beautifully smart simple idea rt write hollergram ipad app sxsw
Counting down the days to #sxsw plus strong Canadian dollar means stock up on Apple gear,3,counting day sxsw plus strong canadian dollar mean stock apple gear
Excited to meet the @samsungmobileus at #sxsw so I can show them my Sprint Galaxy S still running Android 2.1.   #fail,3,excite meet sxsw show sprint galaxy still run android 2.1. fail
Find &amp; Start Impromptu Parties at #SXSW With @HurricaneParty http://bit.ly/gVLrIn I can't wait til the Android app comes out.,3,find amp start impromptu party sxsw ca n't wait til android app come
"Foursquare ups the game, just in time for #SXSW http://j.mp/grN7pK) - Still prefer @Gowalla by far, best looking Android app to date.",3,foursquare ups game time sxsw still prefer far best look android app date
Gotta love this #SXSW Google Calendar featuring top parties/ show cases to check out.  RT @hamsandwich via @ischafer =&gt;http://bit.ly/aXZwxB,3,get ta love sxsw google calendar feature top parties/ show case check rt via gt
Great #sxsw ipad app from @madebymany: http://tinyurl.com/4nqv92l,3,great sxsw ipad app
"haha, awesomely rad iPad app by @madebymany http://bit.ly/hTdFim #hollergram #sxsw",3,haha awesomely rad ipad app hollergram sxsw
Holler Gram for iPad on the iTunes App Store -  http://t.co/kfN3f5Q (via @marc_is_ken) #sxsw,5,holler gram ipad itunes app store via sxsw
I just noticed DST is coming this weekend. How many iPhone users will be an hour late at SXSW come Sunday morning? #SXSW #iPhone,1,notice dst come weekend many iphone user hour late sxsw come sunday morning sxsw iphone
"Just added my #SXSW flights to @planely. Matching people on planes/airports. Also downloaded the @KLM iPhone app, nicely done.",3,add sxsw flight match people planes/airports also download iphone app nicely do
Must have #SXSW app! RT @malbonster: Lovely review from Forbes for our SXSW iPad app Holler Gram - http://t.co/g4GZypV,3,must sxsw app rt lovely review forbes sxsw ipad app holler gram
Need to buy an iPad2 while I'm in Austin at #sxsw. Not sure if I'll need to Q up at an Austin Apple store?,3,need buy ipad2 'm austin sxsw sure 'll need q austin apple store
"Oh. My. God. The #SXSW app for iPad is pure, unadulterated awesome. It's easier to browse events on iPad than on the website!!!",3,oh god sxsw app ipad pure unadulterated awesome 's easy browse event ipad website
"Okay, this is really it: yay new @Foursquare for #Android app!!!!11 kthxbai. #sxsw",3,okay really yay new android app 11 kthxbai sxsw
"Photo: Just installed the #SXSW iPhone app, which is really nice! http://tumblr.com/x6t1pi6av7",3,photo instal sxsw iphone app really nice
Really enjoying the changes in Gowalla 3.0 for Android! Looking forward to seeing what else they &amp; Foursquare have up their sleeves at #SXSW,3,really enjoy change gowalla 3.0 android look forward see else amp foursquare sleeve sxsw
"RT @LaurieShook: I'm looking forward to the #SMCDallas pre #SXSW party Wed., and hoping I'll win an #iPad resulting from my shameless promotion.  #ChevySMC",3,rt 'm look forward smcdallas pre sxsw party wed. hop 'll win ipad result shameless promotion chevysmc
"RT haha, awesomely rad iPad app by @madebymany http://bit.ly/hTdFim #hollergram #sxsw (via @michaelpiliero)",3,rt haha awesomely rad ipad app hollergram sxsw via
"someone started an #austin @PartnerHub group in google groups, pre-#sxsw. great idea",3,someone start austin group google group pre-sxsw great idea
The new #4sq3 looks like it is going to rock. Update for iPhone and Android should push tonight http://bit.ly/etsbZk #SXSW #KeepAustinWeird,3,new 4sq3 look like go rock update iphone android push tonight sxsw keepaustinweird
"They were right, the @gowalla 3 app on #android is sweeeeet! Nice job by the team there. #sxsw",3,right 3 app android sweeeeet nice job team sxsw
Very smart from @madebymany #hollergram iPad app for #sxsw! http://t.co/A3xvWc6 (may leave my vuvuzela at home now),3,smart hollergram ipad app sxsw may leave vuvuzela home
You must have this app for your iPad if you are going to #SXSW http://itunes.apple.com/us/app/holler-gram/id420666439?mt=8 #hollergram,3,must app ipad go sxsw hollergram
"Attn: All  #SXSW frineds, @mention Register for #GDGTLive  and see Cobra iRadar for Android. {link}",5,attn sxsw frineds register gdgtlive see cobra iradar android link
Anyone at  #sxsw want to sell their old iPad?,5,anyone sxsw want sell old ipad
Anyone at  #SXSW who bought the new iPad want to sell their older iPad to me?,5,anyone sxsw bought new ipad want sell old ipad
"At #sxsw.  Oooh. RT @mention Google to Launch Major New Social Network Called Circles, Possibly Today {link}",5,sxsw oooh rt google launch major new social network call circle possibly today link
The best!  RT @mention Ha! First in line for #ipad2 at #sxsw &quot;pop-up&quot; Apple store was an event planner #eventprofs #pcma #engage365,3,best rt ha first line ipad2 sxsw quot pop-up quot apple store event planner eventprofs pcma engage365
SPIN Play - a new concept in music discovery for your iPad from @mention &amp; spin.com {link} #iTunes #sxsw @mention,5,spin play new concept music discovery ipad amp spin.com link itunes sxsw
@mention  - False Alarm: Google Circles Not Coming Nowâ€“and Probably Not Ever? - {link} #Google #Circles #Social #SXSW,1,false alarm google circle come nowâ˚Úand probably ever link google circle social sxsw
VatorNews - Google And Apple Force Print Media to Evolve? {link} #sxsw,5,vatornews google apple force print medium evolve link sxsw
@mention  - Great weather to greet you for #sxsw! Still need a sweater at night..Apple putting up &quot;flash store&quot; downtown to sell iPad2,3,great weather greet sxsw still need sweater night.apple put quot flash store quot downtown sell ipad2
"HootSuite - HootSuite Mobile for #SXSW ~ Updates for iPhone, BlackBerry &amp; Android: Whether youâ€™re getting friend... {link}",5,hootsuite hootsuite mobile sxsw update iphone blackberry amp android whether youâ˚™re get friend link
Hey #SXSW - How long do you think it takes us to make an iPhone case? answer @mention using #zazzlesxsw and weâ€™ll make you one!,5,hey sxsw long think take u make iphone case answer use zazzlesxsw weâ˚™ll make one
Mashable! - The iPad 2 Takes Over SXSW [VIDEO] #ipad #sxsw #gadgets {link},5,mashable ipad 2 take sxsw video ipad sxsw gadget link
For I-Pad ?RT @mention New #UberSocial for #iPhone now in the App Store includes UberGuide to #SXSW sponsored by ... {link},5,i-pad rt new ubersocial iphone app store include uberguide sxsw sponsor link
#IPad2 's â€˜#SmartCoverâ€™ Opens to Instant Access - I should have waited to get one! - {link} #apple #SXSW,3,ipad2 's â˚˜smartcoverâ˚™ open instant access wait get one link apple sxsw
Hand-Held â€˜Hoboâ€™: Drafthouse launches â€˜Hobo With a Shotgunâ€™ iPhone app #SXSW {link},3,hand-held â˚˜hoboâ˚™ drafthouse launch â˚˜hobo shotgunâ˚™ iphone app sxsw link
HOORAY RT â€œ@mention Apple Is Opening A Pop-Up Store In Austin For #SXSW | @mention {link},3,hooray rt â˚Ô apple opening pop-up store austin sxsw link
Orly....? â€œ@mention Google set to launch new social network #Circles today at #sxswâ€ù,5,orly. â˚Ô google set launch new social network circle today sxswâ˚ù
wooooo!!! â€œ@mention Apple store downtown Austin open til Midnight. #sxswâ€ù,3,wooooo â˚Ô apple store downtown austin open til midnight sxswâ˚ù
Khoi Vinh (@mention says Conde Nast's headlong rush into iPad publishing was a &quot;fundamental misunderstanding&quot; of the platform #sxsw,5,khoi vinh say conde nast 's headlong rush ipad publishing quot fundamental misunderstand quot platform sxsw
"â€œ@mention {link} &lt;-- HELP ME FORWARD THIS DOC to all Anonymous accounts, techies,&amp; ppl who can help us JAM #libya #SXSW",5,â˚Ô link lt -- help forward doc anonymous account techie amp ppl help u jam libya sxsw
â˜º WHAT? â˜_ {link} â„_ #edchat #musedchat #sxsw #sxswi #classical #newTwitter,5,â˜º â˜_ link â„_ edchat musedchat sxsw sxswi classical newtwitter
".@mention @mention on the location-based 'fast, fun and future' - {link} (via @mention #sxsw",5,location-based 'fast fun future link via sxsw
â€œ@mention @mention #Google Will Connect the Digital &amp; Physical Worlds Through Mobile - {link} #sxswâ€ù @mention,5,â˚Ô google connect digital amp physical world mobile link sxswâ˚ù
â€œ@mention @mention talking about {link} - Google's effort to allow users to have open systems #bettercloud #sxswâ€ù,3,â˚Ô talk link google 's effort allow user open system bettercloud sxswâ˚ù
"{link} RT @mention &quot;Google before you tweet&quot; is the new &quot;think before you speak.&quot; - Mark Belinsky, #911tweets panel at #SXSW.",5,link rt quot google tweet quot new quot think speak. quot mark belinsky 911tweets panel sxsw
{link} RT @mention 1st stop on the #SXSW #Chaos &amp; @mention hunt: Austin Java. Get in the spy game 4 a chance 2 win an iPad!,3,link rt 1st stop sxsw chaos amp hunt austin java get spy game 4 chance 2 win ipad
{link} RT @mention Those at #SXSW check out the Holler Gram ipad app from @mention  {link},5,link rt sxsw check holler gram ipad app link
@mention  @mention &amp;  @mention having fun at #google [pic] #SXSW {link},5,amp fun google pic sxsw link
